Date_month,SP500_monthly_return,SP500_volatility,YOY_inflation,Inflation_volatility,Inflation_suprise,Inflation_lag,Volatility_lag,Surprise_lag
2001-01,-2.4299902991953863,4.567131027661873,3.7212049616066047,0.2390855412115498,0.7212049616066047,3.4360189573459614,0.28648187626705157,0.6360189573459616
2001-02,7.0289143982981095,5.041272938710007,3.5294117647058822,0.22909059713577037,0.7294117647058824,3.7212049616066047,0.2390855412115498,0.7212049616066047
2001-03,-9.628167565008862,5.732928009781697,2.982456140350874,0.24825262572941095,0.1824561403508742,3.5294117647058822,0.22909059713577037,0.7294117647058824
2001-04,-7.68270077681735,5.115852312708153,3.218256290228204,0.2249444377719479,0.11825629022820383,2.982456140350874,0.24825262572941095,0.1824561403508742
2001-05,10.52213137640731,6.279051672153798,3.5630841121495465,0.20841611800488694,0.3630841121495463,3.218256290228204,0.2249444377719479,0.11825629022820383
2001-06,-0.4555997700554697,6.280543257909588,3.1939605110336817,0.20127466549667375,0.19396051103368173,3.5630841121495465,0.20841611800488694,0.3630841121495463
2001-07,-1.8997891920422634,6.238140992657563,2.7214823393167444,0.27360283693056153,0.12148233931674435,3.1939605110336817,0.20127466549667375,0.19396051103368173
2001-08,-1.6810529048356515,6.233599927412329,2.7214823393167444,0.32635502517355647,0.02148233931674426,2.7214823393167444,0.27360283693056153,0.12148233931674435
2001-09,-6.825237360603696,6.010058886986293,2.5921658986175116,0.3768989939262224,-0.20783410138248826,2.7214823393167444,0.32635502517355647,0.02148233931674426
2001-10,-8.331411854097448,6.198753010583671,2.1276595744680784,0.4807577719339745,1.1276595744680784,2.5921658986175116,0.3768989939262224,-0.20783410138248826
2001-11,4.385915422103148,6.504596602132817,1.8943742824339904,0.5792307177000673,1.4943742824339905,2.1276595744680784,0.4807577719339745,1.1276595744680784
2001-12,4.224707117382865,6.493915883478404,1.603665521191301,0.6795247356437997,-0.19633447880869914,1.8943742824339904,0.5792307177000673,1.4943742824339905
2002-01,2.192231082045963,6.542451425988912,1.195899772209564,0.7619165167078892,-0.704100227790436,1.603665521191301,0.6795247356437997,-0.19633447880869914
2002-02,-2.8120667842470977,6.089518706232498,1.1363636363636365,0.8115237716601571,-0.9636363636363636,1.195899772209564,0.7619165167078892,-0.704100227790436
2002-03,0.853687269812822,5.54490700323979,1.3628620102214684,0.8422269282687986,-1.3371379897785318,1.1363636363636365,0.8115237716601571,-0.9636363636363636
2002-04,1.3041412097362013,5.093666816221539,1.6439909297052187,0.8041326891753546,-1.1560090702947812,1.3628620102214684,0.8422269282687986,-1.3371379897785318
2002-05,-5.240120368942905,4.104557175874732,1.240834743372808,0.7056040704114818,-1.4591652566271922,1.6439909297052187,0.8041326891753546,-1.1560090702947812
2002-06,-4.213676423663076,4.1859587151302815,1.0692177827799696,0.6282066501045662,-1.6307822172200306,1.240834743372808,0.7056040704114818,-1.4591652566271922
2002-07,-6.921438442105704,4.470507285990198,1.4656144306651604,0.5569094380504953,-1.1343855693348397,1.0692177827799696,0.6282066501045662,-1.6307822172200306
2002-08,-8.670835611689249,4.873459839940096,1.74746335963923,0.4507820836306153,-0.8525366403607701,1.4656144306651604,0.5569094380504953,-1.1343855693348397
2002-09,-0.7505656201081958,4.696122220879865,1.5160022459292628,0.32191160974574284,-0.9839977540707372,1.74746335963923,0.4507820836306153,-0.8525366403607701
2002-10,-3.4293120563234596,4.29085717037755,2.027027027027024,0.3049472662467231,-0.4729729729729759,1.5160022459292628,0.32191160974574284,-0.9839977540707372
2002-11,6.256566204945711,4.553625940469232,2.2535211267605635,0.3605831939484386,-0.14647887323943642,2.027027027027024,0.3049472662467231,-0.4729729729729759
2002-12,3.7260262947868714,4.499241272874508,2.480270574971818,0.45507483140733845,-0.01972942502818187,2.2535211267605635,0.3605831939484386,-0.14647887323943642
2003-01,-2.7286442597447382,4.35655844132724,2.7574563871693902,0.5449842131160163,0.25745638716939023,2.480270574971818,0.45507483140733845,-0.01972942502818187
2003-02,-5.358461261211902,4.466421232664354,3.1460674157303337,0.6468975387173739,0.4460674157303335,2.7574563871693902,0.5449842131160163,0.25745638716939023
2003-03,-2.965176858430463,4.372064995541136,3.0252100840336165,0.6990501415789332,-0.07478991596638362,3.1460674157303337,0.6468975387173739,0.4460674157303335
2003-04,2.8353736753727485,4.510658415063035,2.1751254880089106,0.6890579689322814,-0.22487451199108932,3.0252100840336165,0.6990501415789332,-0.07478991596638362
2003-05,6.735160823744274,5.086226926892724,1.8941504178273012,0.6412843115418287,-0.1058495821726988,2.1751254880089106,0.6890579689322814,-0.22487451199108932
2003-06,5.533123745766823,5.348451782331982,1.9487750556792873,0.5532743574109652,-0.15122494432071276,1.8941504178273012,0.6412843115418287,-0.1058495821726988
2003-07,1.5842820397330661,4.966932147231604,2.055555555555549,0.5059797235490994,0.3555555555555492,1.9487750556792873,0.5532743574109652,-0.15122494432071276
2003-08,-0.22090386981603563,4.116400428110851,2.21606648199446,0.48094605783661365,-0.28393351800554,2.055555555555549,0.5059797235490994,0.3555555555555492
2003-09,4.268730783874103,4.184034368179669,2.378318584070787,0.4143969920539505,-0.4216814159292128,2.21606648199446,0.48094605783661365,-0.28393351800554
2003-10,-0.36889006421534654,3.952916883377146,2.0419426048565215,0.4133181881659765,-0.5580573951434786,2.378318584070787,0.4143969920539505,-0.4216814159292128
2003-11,4.006997505652025,3.7611147269683634,1.9283746556473829,0.43150336475048684,-0.7716253443526173,2.0419426048565215,0.4133181881659765,-0.5580573951434786
2003-12,1.0481365206722568,3.6906781613468467,2.0352035203520287,0.43718521830071566,-0.5647964796479714,1.9283746556473829,0.43150336475048684,-0.7716253443526173
2004-01,3.5846433602394043,3.526456134278104,2.0262869660460114,0.418201294474394,-0.6737130339539887,2.0352035203520287,0.43718521830071566,-0.5647964796479714
2004-02,2.4159235862383692,2.7316665690990356,1.6884531590413914,0.3340985527119007,-0.9115468409586087,2.0262869660460114,0.418201294474394,-0.6737130339539887
2004-03,1.8242482567298026,2.174026800156271,1.740076128330608,0.19293482785352709,-1.1599238716693918,1.6884531590413914,0.3340985527119007,-0.9115468409586087
2004-04,-2.0588706766609226,2.5816391686416007,2.2925764192139835,0.20465774925056132,-0.9074235807860167,1.740076128330608,0.19293482785352709,-1.1599238716693918
2004-05,-1.2966297588815725,2.378123554532125,2.897758337889548,0.3205750299995281,-0.40224166211045187,2.2925764192139835,0.20465774925056132,-0.9074235807860167
2004-06,0.3319905296620954,2.068504562116014,3.1676679410158446,0.43834983632624885,-0.13233205898415523,2.897758337889548,0.3205750299995281,-0.40224166211045187
2004-07,0.6903309464369121,2.071857745888782,2.9395753946652183,0.48284944780358324,-0.06042460533478167,3.1676679410158446,0.43834983632624885,-0.13233205898415523
